rxn,r1_radius,r2_radius,alpha_angle,psi_1_dihedral,psi_2_dihedral,A_forward,A_unit_forward,n_forward,Ea_forward,Ea_unit_forward,T0_forward,T0_unit_forward,Tmin_forward,Tmin_unit_forward,Tmax_forward,Tmax_unit_forward,dA_forward,dn_forward,dEa_forward,E0_reactants_kJmol,E0_TS_kJmol,E0_products_kJmol,A_reverse,A_unit_reverse,n_reverse,Ea_reverse,Ea_unit_reverse,T0_reverse,T0_unit_reverse,Tmin_reverse,Tmin_unit_reverse,Tmax_reverse,Tmax_unit_reverse,dA_reverse,dn_reverse,dEa_reverse,group
rxn_1823,1.300932683521145,1.4089910284424103,174.3779166008416,16.041371208469602,293.92479074837803,0.000872052,cm^3/(mol*s),4.54294,77.5597,kJ/mol,1.0,K,300.0,K,3000.0,K,1.74871,0.0727943,0.41629,0.0,97.37,65.59,0.00047671,cm^3/(mol*s),4.45445,10.6091,kJ/mol,1.0,K,300.0,K,3000.0,K,1.66817,0.0666532,0.381171,ZEUS
rxn_1266,1.278270653444225,1.436386008467022,177.86452788769293,201.87570531792335,350.98195143075367,4.14707e-05,cm^3/(mol*s),4.78313,79.7516,kJ/mol,1.0,K,300.0,K,3000.0,K,2.07547,0.0951075,0.543894,0.0,98.75,59.66,1.7101e-05,cm^3/(mol*s),4.6889,19.3086,kJ/mol,1.0,K,300.0,K,3000.0,K,2.03145,0.0923156,0.527928,ZEUS
rmg_rxn_224,1.3170046026602735,1.3738204925472606,176.67978979140292,262.60274040797185,306.7150485944085,2.1254e-05,cm^3/(mol*s),4.7138,23.7912,kJ/mol,1.0,K,300.0,K,3000.0,K,2.13211,0.0986148,0.563951,14.55,59.82,0.0,1.01206e-05,cm^3/(mol*s),4.81392,38.3903,kJ/mol,1.0,K,300.0,K,3000.0,K,2.18712,0.101933,0.582925,ATLAS
rmg_rxn_16647,1.2040801282275886,1.3950341009942038,174.1011677783714,312.84135494175433,299.5694055035576,0.0115183,cm^3/(mol*s),3.88838,-0.164531,kJ/mol,1.0,K,300.0,K,3000.0,K,1.14842,0.0180252,0.103081,53.41,68.64,0.0,0.00335458,cm^3/(mol*s),4.16454,53.7179,kJ/mol,1.0,K,300.0,K,3000.0,K,1.24929,0.0289905,0.165789,ZEUS
rxn_852,1.215706276812003,1.5535746669892132,170.95006208015104,199.5005493590008,345.65793730617185,111.338,cm^3/(mol*s),2.99502,140.722,kJ/mol,1.0,K,300.0,K,3000.0,K,1.18508,0.0221178,0.126485,0.0,151.42,139.27,917.395,cm^3/(mol*s),2.5753,1.93901,kJ/mol,1.0,K,300.0,K,3000.0,K,1.05696,0.00721576,0.0412649,ZEUS
rxn_910,1.2929366185555058,1.3974341517239877,176.3051326246623,61.4921317182003,120.01075505798406,0.0109989,cm^3/(mol*s),4.56174,17.3919,kJ/mol,1.0,K,300.0,K,3000.0,K,1.85858,0.0807314,0.46168,33.87,73.39,0.0,0.000737707,cm^3/(mol*s),4.64919,49.8346,kJ/mol,1.0,K,300.0,K,3000.0,K,1.94139,0.0864089,0.494149,ZEUS
rmg_rxn_15420,1.3490531426574222,1.354701151883548,179.413602581858,206.8533728785478,121.87234681043292,0.00272816,cm^3/(mol*s),4.0487,1.21374,kJ/mol,1.0,K,300.0,K,3000.0,K,1.23481,0.0274718,0.157104,31.11,48.43,0.0,0.0020845,cm^3/(mol*s),3.95944,31.6786,kJ/mol,1.0,K,300.0,K,3000.0,K,1.21023,0.024853,0.142128,ZEUS
rxn_1652,1.2418943815058,1.4817203274004145,171.23065830462545,167.1677220457546,247.6479177734916,0.00526566,cm^3/(mol*s),4.38675,96.5889,kJ/mol,1.0,K,300.0,K,3000.0,K,1.76251,0.0738185,0.422148,0.0,112.03,63.65,0.00351881,cm^3/(mol*s),4.31842,32.7991,kJ/mol,1.0,K,300.0,K,3000.0,K,1.70009,0.0691221,0.39529,ZEUS
rxn_1342,1.3179057379257506,1.3904429970270509,172.7562917844841,179.9765697144162,180.02266970792482,8.06999e-06,cm^3/(mol*s),5.20059,21.0792,kJ/mol,1.0,K,300.0,K,3000.0,K,2.52061,0.120417,0.688634,19.5,62.14,0.0,1.59816e-05,cm^3/(mol*s),4.88299,39.599,kJ/mol,1.0,K,300.0,K,3000.0,K,2.36591,0.112167,0.641454,ZEUS
rxn_1082,1.2442028084011174,1.483003082730053,175.3470229114313,194.9173755730842,232.7660733698881,0.652728,cm^3/(mol*s),3.97186,8.26706,kJ/mol,1.0,K,300.0,K,3000.0,K,1.29265,0.0334347,0.191204,101.15,125.14,0.0,0.0999494,cm^3/(mol*s),4.18845,109.068,kJ/mol,1.0,K,300.0,K,3000.0,K,1.39768,0.0436097,0.249392,ZEUS
rmg_rxn_15652,1.3229891939882457,1.3793396093186725,169.89271577631044,50.18543230574805,40.9542225443932,4.1348e-06,cm^3/(mol*s),4.84323,17.2862,kJ/mol,1.0,K,300.0,K,3000.0,K,2.18566,0.101846,0.582427,35.2,75.72,0.0,2.21833e-06,cm^3/(mol*s),5.09699,52.8423,kJ/mol,1.0,K,300.0,K,3000.0,K,2.31198,0.109164,0.624278,ZEUS
rmg_rxn_230,1.3000427990984027,1.3967939553869575,174.97584281326044,340.4857959106564,343.926810744748,0.00865835,cm^3/(mol*s),3.63821,14.8332,kJ/mol,1.0,K,300.0,K,3000.0,K,1.90492,0.0839388,0.480023,50.14,86.83,0.0,0.00104144,cm^3/(mol*s),3.72892,65.4518,kJ/mol,1.0,K,300.0,K,3000.0,K,1.97664,0.0887528,0.507553,ATLAS
rxn_557,1.3210706621946509,1.3531189704743063,175.80696985978906,258.2126978417599,52.798832213354096,9.79871e-05,cm^3/(mol*s),4.54444,18.2893,kJ/mol,1.0,K,300.0,K,3000.0,K,1.8055,0.076957,0.440096,4.23,41.72,0.0,0.000236774,cm^3/(mol*s),4.68332,23.2441,kJ/mol,1.0,K,300.0,K,3000.0,K,1.86488,0.0811719,0.4642,ZEUS
rxn_185,0.864414524159439,1.45245813634426,179.19883037571222,-10.0,180.0321272102827,4566850.0,cm^3/(mol*s),2.1824,52.3835,kJ/mol,1.0,K,300.0,K,3000.0,K,1.18657,0.0222819,0.127424,0.0,60.44,39.3,11766.9,cm^3/(mol*s),2.62095,8.14724,kJ/mol,1.0,K,300.0,K,3000.0,K,1.08821,0.0110103,0.0629647,ZEUS
rxn_690,0.9637808253780018,1.1518924669999848,169.02952661776334,-10.0,288.9625672385308,0.544859,cm^3/(mol*s),4.1861,14.2987,kJ/mol,1.0,K,300.0,K,3000.0,K,3.22007,0.152316,0.871053,85.7,132.34,0.0,0.00180551,cm^3/(mol*s),4.63848,95.5392,kJ/mol,1.0,K,300.0,K,3000.0,K,2.67892,0.128351,0.734006,ZEUS
rxn_3126,1.2137927449141397,1.4709014556209492,176.92540916152254,180.0075906989713,179.92244001119178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rxn_1904,1.3522249483653783,1.3587982883663812,173.5303367870812,20.558923959290983,218.4157802097549,3.08532e-06,cm^3/(mol*s),5.067,46.0759,kJ/mol,1.0,K,300.0,K,3000.0,K,2.52643,0.120718,0.690351,0.0,70.26,25.85,1.87365e-06,cm^3/(mol*s),5.03662,19.519,kJ/mol,1.0,K,300.0,K,3000.0,K,2.53198,0.121003,0.691985,ZEUS
rxn_1131,1.3211098695354726,1.3914537424917155,172.9736277209147,331.74275931813554,105.82109320755336,1.95976e-08,cm^3/(mol*s),5.58976,32.1097,kJ/mol,1.0,K,300.0,K,3000.0,K,3.99535,0.180415,1.03174,38.01,98.7,0.0,1.96963e-07,cm^3/(mol*s),5.63682,70.9345,kJ/mol,1.0,K,300.0,K,3000.0,K,3.94473,0.178754,1.02224,ZEUS
rxn_1201,1.3184240254692146,1.392127521905484,177.5928409746784,199.4029253838734,94.62551644518196,1.91208e-08,cm^3/(mol*s),5.25824,29.0453,kJ/mol,1.0,K,300.0,K,3000.0,K,3.04463,0.145019,0.829322,28.46,81.83,0.0,7.61221e-08,cm^3/(mol*s),5.23609,58.0857,kJ/mol,1.0,K,300.0,K,3000.0,K,3.03686,0.144686,0.827419,ZEUS
rxn_466,1.3525613610808538,1.5726853846936857,174.7344704200649,40.16427798005553,28.12472754965011,0.00398691,cm^3/(mol*s),4.33877,11.5592,kJ/mol,1.0,K,300.0,K,3000.0,K,1.4796,0.0510288,0.29182,22.22,47.36,0.0,0.0729508,cm^3/(mol*s),3.87702,33.2605,kJ/mol,1.0,K,300.0,K,3000.0,K,1.3113,0.0353001,0.201872,ZEUS
rmg_rxn_671,1.3115140754098558,1.4045471053353664,170.299128044351,54.65127313694211,305.35376180292,6.57037e-06,cm^3/(mol*s),4.65359,16.5452,kJ/mol,1.0,K,300.0,K,3000.0,K,1.91936,0.0849229,0.485651,22.85,61.42,0.0,1.09176e-05,cm^3/(mol*s),4.70638,39.5235,kJ/mol,1.0,K,300.0,K,3000.0,K,1.93157,0.0857485,0.490372,ATLAS
