rxn,label,A,A_units,n,Ea,Ea_units,T0,Tmin,Tmax,dA,dn,dEa,source_comment
rmg_rxn_638,k_rev (TST+T),0.00245358,cm^3/(mol*s),4.43892,38.8608,kJ/mol,1.0 K,300.0 K,3000.0 K,1.58903,0.0603225,0.344968,"Fitted to 50 data points; dA = *|/ 1.58903, dn = +|- 0.0603225, dEa = +|- 0.344968 kJ/mol"
rmg_rxn_638,k_for (TST+T),0.00098143,cm^3/(mol*s),4.32336,8.29475,kJ/mol,1.0 K,300.0 K,3000.0 K,1.51879,0.0544337,0.311291,"Fitted to 50 data points; dA = *|/ 1.51879, dn = +|- 0.0544337, dEa = +|- 0.311291 kJ/mol"
rmg_rxn_52,k_rev (TST),0.29792,cm^3/(mol*s),3.41699,27.9796,kJ/mol,1.0 K,300.0 K,3000.0 K,1.1075,0.0132998,0.0760579,"Fitted to 50 data points; dA = *|/ 1.1075, dn = +|- 0.0132998, dEa = +|- 0.0760579 kJ/mol"
rmg_rxn_52,k_rev (TST+T),0.00253169,cm^3/(mol*s),3.98772,19.5688,kJ/mol,1.0 K,300.0 K,3000.0 K,1.16037,0.0193731,0.110789,"Fitted to 50 data points; dA = *|/ 1.16037, dn = +|- 0.0193731, dEa = +|- 0.110789 kJ/mol"
rmg_rxn_52,k_for (TST+T),0.0200291,cm^3/(mol*s),3.84717,0.820951,kJ/mol,1.0 K,300.0 K,3000.0 K,1.12646,0.0155098,0.0886965,"Fitted to 50 data points; dA = *|/ 1.12646, dn = +|- 0.0155098, dEa = +|- 0.0886965 kJ/mol"
rmg_rxn_350,k_rev (TST),10.5242,cm^3/(mol*s),3.33521,62.8416,kJ/mol,1.0 K,300.0 K,3000.0 K,1.05587,0.00708071,0.0404926,"Fitted to 50 data points; dA = *|/ 1.05587, dn = +|- 0.00708071, dEa = +|- 0.0404926 kJ/mol"
rmg_rxn_350,k_rev (TST+T),0.0132583,cm^3/(mol*s),4.1376,51.9783,kJ/mol,1.0 K,300.0 K,3000.0 K,1.39114,0.0429985,0.245897,"Fitted to 50 data points; dA = *|/ 1.39114, dn = +|- 0.0429985, dEa = +|- 0.245897 kJ/mol"
rmg_rxn_350,k_for (TST+T),0.0152624,cm^3/(mol*s),4.28496,8.21333,kJ/mol,1.0 K,300.0 K,3000.0 K,1.45173,0.0485522,0.277656,"Fitted to 50 data points; dA = *|/ 1.45173, dn = +|- 0.0485522, dEa = +|- 0.277656 kJ/mol"
rmg_rxn_675,k_rev (TST),0.177671,cm^3/(mol*s),3.35175,64.1187,kJ/mol,1.0 K,300.0 K,3000.0 K,1.0616,0.00778646,0.0445286,"Fitted to 50 data points; dA = *|/ 1.0616, dn = +|- 0.00778646, dEa = +|- 0.0445286 kJ/mol"
rmg_rxn_675,k_rev (TST+T),3.62907e-07,cm^3/(mol*s),4.93957,45.185,kJ/mol,1.0 K,300.0 K,3000.0 K,2.38223,0.113063,0.646576,"Fitted to 50 data points; dA = *|/ 2.38223, dn = +|- 0.113063, dEa = +|- 0.646576 kJ/mol"
rmg_rxn_675,k_for (TST+T),2.18781e-06,cm^3/(mol*s),4.93631,19.242,kJ/mol,1.0 K,300.0 K,3000.0 K,2.29956,0.108462,0.620267,"Fitted to 50 data points; dA = *|/ 2.29956, dn = +|- 0.108462, dEa = +|- 0.620267 kJ/mol"
rmg_rxn_256,k_rev (TST),0.817178,cm^3/(mol*s),3.53505,52.4643,kJ/mol,1.0 K,300.0 K,3000.0 K,1.04001,0.00511004,0.0292229,"Fitted to 50 data points; dA = *|/ 1.04001, dn = +|- 0.00511004, dEa = +|- 0.0292229 kJ/mol"
