A,A_unit,n,Ea,Ea_unit,T0,T0_unit,Tmin,Tmin_unit,Tmax,Tmax_unit,dA,dn,dEa,folder,subfolder,E0_reactants_kJmol,E0_TS_kJmol,E0_products_kJmol
5.91131e-06,cm^3/(mol*s),4.84618,20.2591,kJ/mol,1.0,K,300.0,K,3000.0,K,2.21163,0.103384,0.591226,ZEUS,rmg_rxn_15715,11.72,54.82,0.0
0.226373,cm^3/(mol*s),4.01455,7.88193,kJ/mol,1.0,K,300.0,K,3000.0,K,1.2787,0.0320218,0.183124,ZEUS,rmg_rxn_15504,80.23,99.98,0.0
1.16057e-06,cm^3/(mol*s),4.97875,25.2716,kJ/mol,1.0,K,300.0,K,3000.0,K,2.40354,0.114223,0.653208,ZEUS,rmg_rxn_15671,0.46,50.76,0.0
6.46214e-05,cm^3/(mol*s),4.72113,21.8441,kJ/mol,1.0,K,300.0,K,3000.0,K,1.84951,0.0800939,0.458035,ZEUS,rmg_rxn_16796,0.0,44.42,8.61
2.38309e-05,cm^3/(mol*s),4.48967,7.77506,kJ/mol,1.0,K,300.0,K,3000.0,K,1.6264,0.0633505,0.362284,ZEUS,rmg_rxn_16525,17.26,47.53,0.0
1.44993e-05,cm^3/(mol*s),4.47711,12.701,kJ/mol,1.0,K,300.0,K,3000.0,K,1.71762,0.0704578,0.402929,ZEUS,rmg_rxn_15679,13.67,47.67,0.0
22652.8,cm^3/(mol*s),2.77386,105.023,kJ/mol,1.0,K,300.0,K,3000.0,K,1.19593,0.0233046,0.133273,ZEUS,rmg_rxn_15436,0.0,108.07,106.91
0.0196703,cm^3/(mol*s),4.02982,6.13648,kJ/mol,1.0,K,300.0,K,3000.0,K,1.27555,0.0316998,0.181282,ZEUS,rmg_rxn_15395,62.46,81.8,0.0
0.00291667,cm^3/(mol*s),4.26379,2.20209,kJ/mol,1.0,K,300.0,K,3000.0,K,1.35476,0.0395471,0.226159,ZEUS,rmg_rxn_16489,15.53,37.1,0.0
0.0840008,cm^3/(mol*s),3.48684,-3.99356,kJ/mol,1.0,K,300.0,K,3000.0,K,1.08591,0.0107355,0.0613935,ZEUS,rmg_rxn_15426,28.67,38.07,0.0
0.00126134,cm^3/(mol*s),4.54352,20.0374,kJ/mol,1.0,K,300.0,K,3000.0,K,1.75926,0.0735779,0.420771,ZEUS,rmg_rxn_15434,1.27,39.26,0.0
4.20368e-10,cm^3/(mol*s),6.24722,156.406,kJ/mol,1.0,K,300.0,K,3000.0,K,12.3126,0.327012,1.87009,ZEUS,rmg_rxn_16516,173.18,363.35,0.0
1.986e-05,cm^3/(mol*s),4.54396,8.36323,kJ/mol,1.0,K,300.0,K,3000.0,K,1.6608,0.066076,0.377871,ZEUS,rmg_rxn_16523,11.55,41.51,0.0
0.00281326,cm^3/(mol*s),3.93008,0.642462,kJ/mol,1.0,K,300.0,K,3000.0,K,1.14595,0.0177443,0.101475,ZEUS,rmg_rxn_15651,21.04,38.12,0.0
6.57833e-06,cm^3/(mol*s),4.80359,18.3779,kJ/mol,1.0,K,300.0,K,3000.0,K,2.11793,0.0977454,0.558979,ZEUS,rmg_rxn_15618,14.14,54.99,0.0
0.0827276,cm^3/(mol*s),3.19926,92.0742,kJ/mol,1.0,K,300.0,K,3000.0,K,1.31769,0.0359335,0.205494,ZEUS,rmg_rxn_16803,0.0,109.08,90.12
8.99264e-06,cm^3/(mol*s),4.8944,18.3325,kJ/mol,1.0,K,300.0,K,3000.0,K,2.27237,0.106913,0.611406,ZEUS,rmg_rxn_15728,43.49,86.57,0.0
2.16433e-06,cm^3/(mol*s),5.11828,4.0861,kJ/mol,1.0,K,300.0,K,3000.0,K,2.03274,0.0923983,0.5284,ZEUS,rmg_rxn_16653,33.19,67.49,0.0
0.00302255,cm^3/(mol*s),4.05016,11.3093,kJ/mol,1.0,K,300.0,K,3000.0,K,1.35346,0.0394227,0.225447,ZEUS,rmg_rxn_15579,121.44,149.6,0.0
0.000364508,cm^3/(mol*s),4.49194,12.7901,kJ/mol,1.0,K,300.0,K,3000.0,K,1.63939,0.0643864,0.368208,ZEUS,rmg_rxn_15405,32.82,63.62,0.0
9.69563e-05,cm^3/(mol*s),4.35339,7.39663,kJ/mol,1.0,K,300.0,K,3000.0,K,1.50304,0.0530762,0.303528,ZEUS,rmg_rxn_15723,93.08,118.77,0.0
1.42692e-07,cm^3/(mol*s),4.99533,22.7641,kJ/mol,1.0,K,300.0,K,3000.0,K,2.47021,0.117787,0.673589,ZEUS,rmg_rxn_15637,5.11,54.31,0.0
0.0224943,cm^3/(mol*s),3.78905,-2.16267,kJ/mol,1.0,K,300.0,K,3000.0,K,1.11963,0.0147181,0.0841688,ZEUS,rmg_rxn_15515,59.43,70.95,0.0
0.000355527,cm^3/(mol*s),4.46458,11.6837,kJ/mol,1.0,K,300.0,K,3000.0,K,1.61226,0.0622126,0.355777,ZEUS,rmg_rxn_15466,31.93,62.09,0.0
0.00668375,cm^3/(mol*s),3.93562,-0.447545,kJ/mol,1.0,K,300.0,K,3000.0,K,1.13889,0.0169399,0.0968744,ZEUS,rmg_rxn_15729,105.33,120.99,0.0
0.000198528,cm^3/(mol*s),4.29958,4.07551,kJ/mol,1.0,K,300.0,K,3000.0,K,1.41096,0.0448417,0.256437,ZEUS,rmg_rxn_16731,33.85,57.57,0.0
3.19266e-05,cm^3/(mol*s),4.37656,9.6642,kJ/mol,1.0,K,300.0,K,3000.0,K,1.63675,0.0641764,0.367007,ZEUS,rmg_rxn_16547,26.93,57.14,0.0
1.37902e-05,cm^3/(mol*s),4.90559,47.8226,kJ/mol,1.0,K,300.0,K,3000.0,K,2.63496,0.126196,0.721682,ZEUS,rmg_rxn_16807,45.4,114.5,0.0
