reaction_type,A,A_unit,n,Ea,Ea_unit,T0,T0_unit,Tmin,Tmin_unit,Tmax,Tmax_unit,dA,dn,dEa,status,group,reaction_id,E0_reactants_kJmol,E0_TS_kJmol,E0_products_kJmol
forward,0.00712356,cm^3/(mol*s),4.3309,4.2201,kJ/mol,1.0,K,300.0,K,3000.0,K,1.43519,0.0470597,0.269121,parsed,ZEUS,rmg_rxn_16484,13.54,37.29,0.0
reverse,0.000609264,cm^3/(mol*s),4.83052,64.4273,kJ/mol,1.0,K,300.0,K,3000.0,K,1.74525,0.0725363,0.414815,parsed,ZEUS,rmg_rxn_16654,58.35,82.93,0.0
forward,0.00150875,cm^3/(mol*s),4.40363,4.24053,kJ/mol,1.0,K,300.0,K,3000.0,K,1.46278,0.0495392,0.283301,parsed,ZEUS,rmg_rxn_16654,58.35,82.93,0.0
reverse,0.00818238,cm^3/(mol*s),3.84755,21.5549,kJ/mol,1.0,K,300.0,K,3000.0,K,1.14714,0.0178798,0.10225,parsed,ZEUS,rmg_rxn_15620,16.73,37.5,0.0
forward,0.00592782,cm^3/(mol*s),4.03388,5.46531,kJ/mol,1.0,K,300.0,K,3000.0,K,1.31325,0.0354939,0.20298,parsed,ZEUS,rmg_rxn_15620,16.73,37.5,0.0
reverse,0.000107526,cm^3/(mol*s),4.43799,54.6586,kJ/mol,1.0,K,300.0,K,3000.0,K,1.45407,0.0487619,0.278856,parsed,ZEUS,rmg_rxn_16533,51.96,73.08,0.0
forward,0.000336352,cm^3/(mol*s),4.14363,2.13684,kJ/mol,1.0,K,300.0,K,3000.0,K,1.31952,0.0361142,0.206527,parsed,ZEUS,rmg_rxn_16533,51.96,73.08,0.0
reverse,0.000206007,cm^3/(mol*s),4.6991,41.5109,kJ/mol,1.0,K,300.0,K,3000.0,K,1.69009,0.068353,0.390892,parsed,ZEUS,rmg_rxn_16521,34.36,61.48,0.0
forward,7.19853e-05,cm^3/(mol*s),4.45478,5.62788,kJ/mol,1.0,K,300.0,K,3000.0,K,1.58332,0.0598536,0.342286,parsed,ZEUS,rmg_rxn_16521,34.36,61.48,0.0
reverse,2.19981e-05,cm^3/(mol*s),4.45624,17.2432,kJ/mol,1.0,K,300.0,K,3000.0,K,1.66233,0.0661964,0.378559,parsed,ZEUS,rmg_rxn_15710,2.98,38.58,0.0
forward,4.98802e-06,cm^3/(mol*s),4.51896,12.8939,kJ/mol,1.0,K,300.0,K,3000.0,K,1.72817,0.0712553,0.407489,parsed,ZEUS,rmg_rxn_15710,2.98,38.58,0.0
reverse,0.0111848,cm^3/(mol*s),4.16946,48.6386,kJ/mol,1.0,K,300.0,K,3000.0,K,1.39145,0.0430284,0.246067,parsed,ZEUS,rmg_rxn_15531,39.19,62.99,0.0
forward,0.0165293,cm^3/(mol*s),4.25808,9.9582,kJ/mol,1.0,K,300.0,K,3000.0,K,1.4298,0.0465691,0.266316,parsed,ZEUS,rmg_rxn_15531,39.19,62.99,0.0
reverse,38.8255,cm^3/(mol*s),3.73043,167.756,kJ/mol,1.0,K,300.0,K,3000.0,K,1.23124,0.0270954,0.154951,parsed,ZEUS,rmg_rxn_14521,49.1,170.61,0.0
forward,0.652084,cm^3/(mol*s),3.78164,115.719,kJ/mol,1.0,K,300.0,K,3000.0,K,1.21032,0.0248627,0.142183,parsed,ZEUS,rmg_rxn_14521,49.1,170.61,0.0
reverse,0.000367925,cm^3/(mol*s),4.61422,78.6231,kJ/mol,1.0,K,300.0,K,3000.0,K,1.55208,0.0572577,0.327441,parsed,ZEUS,rmg_rxn_15580,75.39,98.36,0.0
forward,0.0028202,cm^3/(mol*s),4.12932,3.11694,kJ/mol,1.0,K,300.0,K,3000.0,K,1.29504,0.0336753,0.192579,parsed,ZEUS,rmg_rxn_15580,75.39,98.36,0.0
reverse,3.28402e-06,cm^3/(mol*s),4.47105,24.9199,kJ/mol,1.0,K,300.0,K,3000.0,K,1.68121,0.0676674,0.386971,parsed,ZEUS,rmg_rxn_15716,14.46,48.41,0.0
forward,3.00155e-06,cm^3/(mol*s),4.45255,9.7707,kJ/mol,1.0,K,300.0,K,3000.0,K,1.69429,0.0686767,0.392743,parsed,ZEUS,rmg_rxn_15716,14.46,48.41,0.0
reverse,0.0608295,cm^3/(mol*s),3.82186,25.4725,kJ/mol,1.0,K,300.0,K,3000.0,K,1.09173,0.0114307,0.0653692,parsed,ZEUS,rmg_rxn_16751,29.09,35.28,0.0
forward,0.100339,cm^3/(mol*s),3.50765,-5.03526,kJ/mol,1.0,K,300.0,K,3000.0,K,1.06864,0.00864718,0.0494508,parsed,ZEUS,rmg_rxn_16751,29.09,35.28,0.0
reverse,0.0218016,cm^3/(mol*s),4.33584,105.87,kJ/mol,1.0,K,300.0,K,3000.0,K,1.50142,0.0529354,0.302723,parsed,ZEUS,rmg_rxn_15453,93.02,120.6,0.0
forward,0.0181008,cm^3/(mol*s),4.32165,11.7867,kJ/mol,1.0,K,300.0,K,3000.0,K,1.49175,0.0520936,0.297909,parsed,ZEUS,rmg_rxn_15453,93.02,120.6,0.0
reverse,0.000511192,cm^3/(mol*s),4.63346,15.5865,kJ/mol,1.0,K,300.0,K,3000.0,K,1.78934,0.0757865,0.433402,parsed,ZEUS,rmg_rxn_15428,0.0,47.56,13.66
forward,0.00058138,cm^3/(mol*s),4.57443,28.8959,kJ/mol,1.0,K,300.0,K,3000.0,K,1.74991,0.0728843,0.416805,parsed,ZEUS,rmg_rxn_15428,0.0,47.56,13.66
reverse,0.0253734,cm^3/(mol*s),4.20777,119.224,kJ/mol,1.0,K,300.0,K,3000.0,K,1.217,0.0255799,0.146284,parsed,ZEUS,rmg_rxn_15386,120.8,131.59,0.0
forward,0.115074,cm^3/(mol*s),3.83159,-2.29947,kJ/mol,1.0,K,300.0,K,3000.0,K,1.06439,0.00812774,0.0464803,parsed,ZEUS,rmg_rxn_15386,120.8,131.59,0.0
reverse,6.53496,cm^3/(mol*s),3.27123,121.21,kJ/mol,1.0,K,300.0,K,3000.0,K,1.04011,0.00512251,0.0292942,parsed,ZEUS,rmg_rxn_15396,115.34,127.48,0.0
forward,15.7723,cm^3/(mol*s),3.12528,5.15588,kJ/mol,1.0,K,300.0,K,3000.0,K,1.11486,0.0141622,0.08099,parsed,ZEUS,rmg_rxn_15396,115.34,127.48,0.0
reverse,1.19065e-05,cm^3/(mol*s),4.87695,26.0495,kJ/mol,1.0,K,300.0,K,3000.0,K,2.23151,0.10455,0.597892,parsed,ZEUS,rmg_rxn_15600,1.56,49.3,0.0
forward,5.57856e-07,cm^3/(mol*s),4.87723,22.7934,kJ/mol,1.0,K,300.0,K,3000.0,K,2.25388,0.105849,0.605322,parsed,ZEUS,rmg_rxn_15600,1.56,49.3,0.0
reverse,0.00464917,cm^3/(mol*s),4.09615,75.7824,kJ/mol,1.0,K,300.0,K,3000.0,K,1.21962,0.0258596,0.147884,parsed,ZEUS,rmg_rxn_15701,77.39,89.35,0.0
forward,0.0222401,cm^3/(mol*s),3.78414,-1.35324,kJ/mol,1.0,K,300.0,K,3000.0,K,1.08614,0.0107632,0.0615515,parsed,ZEUS,rmg_rxn_15701,77.39,89.35,0.0
reverse,0.0182556,cm^3/(mol*s),3.94873,59.8874,kJ/mol,1.0,K,300.0,K,3000.0,K,1.23486,0.0274776,0.157137,parsed,ZEUS,rmg_rxn_15407,52.06,72.56,0.0
forward,0.0120741,cm^3/(mol*s),4.00832,7.64524,kJ/mol,1.0,K,300.0,K,3000.0,K,1.28467,0.0326283,0.186592,parsed,ZEUS,rmg_rxn_15407,52.06,72.56,0.0
reverse,0.00134184,cm^3/(mol*s),4.08684,102.66,kJ/mol,1.0,K,300.0,K,3000.0,K,1.26558,0.0306784,0.175441,parsed,ZEUS,rmg_rxn_15667,101.58,116.89,0.0
forward,0.00214582,cm^3/(mol*s),3.92664,0.360262,kJ/mol,1.0,K,300.0,K,3000.0,K,1.14634,0.0177895,0.101733,parsed,ZEUS,rmg_rxn_15667,101.58,116.89,0.0
reverse,0.020559,cm^3/(mol*s),4.33706,123.507,kJ/mol,1.0,K,300.0,K,3000.0,K,1.42764,0.0463722,0.26519,parsed,ZEUS,rmg_rxn_16609,112.29,135.95,0.0
forward,0.0173713,cm^3/(mol*s),4.10252,9.69458,kJ/mol,1.0,K,300.0,K,3000.0,K,1.32569,0.0367218,0.210002,parsed,ZEUS,rmg_rxn_16609,112.29,135.95,0.0
reverse,0.000703978,cm^3/(mol*s),4.62103,24.0981,kJ/mol,1.0,K,300.0,K,3000.0,K,1.78181,0.0752371,0.43026,parsed,ZEUS,rmg_rxn_15538,5.34,41.96,0.0
forward,0.0012284,cm^3/(mol*s),4.54702,18.9523,kJ/mol,1.0,K,300.0,K,3000.0,K,1.74284,0.0723567,0.413788,parsed,ZEUS,rmg_rxn_15538,5.34,41.96,0.0
reverse,1.98983e-06,cm^3/(mol*s),4.72881,34.649,kJ/mol,1.0,K,300.0,K,3000.0,K,1.96125,0.0877351,0.501733,parsed,ZEUS,rmg_rxn_15633,19.09,57.59,0.0
forward,2.1499e-06,cm^3/(mol*s),4.70439,14.827,kJ/mol,1.0,K,300.0,K,3000.0,K,1.98594,0.0893644,0.51105,parsed,ZEUS,rmg_rxn_15633,19.09,57.59,0.0
reverse,0.0119486,cm^3/(mol*s),4.16575,54.0245,kJ/mol,1.0,K,300.0,K,3000.0,K,1.35128,0.0392128,0.224247,parsed,ZEUS,rmg_rxn_15477,45.85,68.78,0.0
forward,0.00478445,cm^3/(mol*s),4.25848,7.65968,kJ/mol,1.0,K,300.0,K,3000.0,K,1.4189,0.0455721,0.260614,parsed,ZEUS,rmg_rxn_15477,45.85,68.78,0.0
reverse,0.679185,cm^3/(mol*s),3.59931,67.828,kJ/mol,1.0,K,300.0,K,3000.0,K,1.0365,0.00466911,0.0267013,parsed,ZEUS,rmg_rxn_16700,71.02,76.41,0.0
forward,0.197383,cm^3/(mol*s),3.57979,-3.95937,kJ/mol,1.0,K,300.0,K,3000.0,K,1.03761,0.00480921,0.0275025,parsed,ZEUS,rmg_rxn_16700,71.02,76.41,0.0
reverse,7.41364e-07,cm^3/(mol*s),4.88478,37.3793,kJ/mol,1.0,K,300.0,K,3000.0,K,2.12749,0.0983322,0.562335,parsed,ZEUS,rmg_rxn_15692,22.77,61.41,0.0
forward,4.61291e-06,cm^3/(mol*s),4.74047,16.1276,kJ/mol,1.0,K,300.0,K,3000.0,K,2.03637,0.0926307,0.529729,parsed,ZEUS,rmg_rxn_15692,22.77,61.41,0.0
reverse,2.33299,cm^3/(mol*s),3.65178,139.558,kJ/mol,1.0,K,300.0,K,3000.0,K,1.08492,0.0106165,0.0607131,parsed,ZEUS,rmg_rxn_15540,137.98,145.29,0.0
forward,1.47561,cm^3/(mol*s),3.61369,0.464976,kJ/mol,1.0,K,300.0,K,3000.0,K,1.06719,0.00847058,0.0484409,parsed,ZEUS,rmg_rxn_15540,137.98,145.29,0.0
reverse,3.86505e-06,cm^3/(mol*s),5.02642,69.7586,kJ/mol,1.0,K,300.0,K,3000.0,K,2.06298,0.0943218,0.5394,parsed,ZEUS,rmg_rxn_16672,62.26,95.31,0.0
forward,1.04063e-06,cm^3/(mol*s),5.05826,6.41965,kJ/mol,1.0,K,300.0,K,3000.0,K,2.09994,0.0966346,0.552627,parsed,ZEUS,rmg_rxn_16672,62.26,95.31,0.0
reverse,4.90365e-07,cm^3/(mol*s),5.02884,61.9831,kJ/mol,1.0,K,300.0,K,3000.0,K,2.36769,0.112265,0.642013,parsed,ZEUS,rmg_rxn_15586,43.49,87.37,0.0
forward,3.12015e-05,cm^3/(mol*s),4.83177,20.9348,kJ/mol,1.0,K,300.0,K,3000.0,K,2.2734,0.106972,0.611744,parsed,ZEUS,rmg_rxn_15586,43.49,87.37,0.0
reverse,4.054e-07,cm^3/(mol*s),5.44917,32.0356,kJ/mol,1.0,K,300.0,K,3000.0,K,3.15128,0.149503,0.854969,parsed,ZEUS,rmg_rxn_16502,9.18,59.81,0.0
forward,1.1953e-07,cm^3/(mol*s),5.48035,21.3358,kJ/mol,1.0,K,300.0,K,3000.0,K,3.11083,0.147821,0.845345,parsed,ZEUS,rmg_rxn_16502,9.18,59.81,0.0
reverse,2.58309,cm^3/(mol*s),3.58602,8.28667,kJ/mol,1.0,K,300.0,K,3000.0,K,1.07121,0.00895986,0.051239,parsed,ZEUS,rmg_rxn_16470,11.61,21.27,0.0
forward,35.187,cm^3/(mol*s),3.55875,-1.22736,kJ/mol,1.0,K,300.0,K,3000.0,K,1.17552,0.0210632,0.120454,parsed,ZEUS,rmg_rxn_16470,11.61,21.27,0.0
reverse,1.03032e-07,cm^3/(mol*s),5.43652,38.1037,kJ/mol,1.0,K,300.0,K,3000.0,K,3.22247,0.152413,0.871608,parsed,ZEUS,rmg_rxn_16714,13.32,67.14,0.0
forward,4.54792e-08,cm^3/(mol*s),5.56627,24.0887,kJ/mol,1.0,K,300.0,K,3000.0,K,3.35229,0.157558,0.901028,parsed,ZEUS,rmg_rxn_16714,13.32,67.14,0.0
reverse,3.06174e-07,cm^3/(mol*s),5.10756,30.5701,kJ/mol,1.0,K,300.0,K,3000.0,K,2.81191,0.134662,0.770094,parsed,ZEUS,rmg_rxn_15603,0.0,65.79,9.69
