rxn,direction,E0_total,E0_TS0,delta_E0
rmg_rxn_13984,reverse,-823316.0,-823236.0,80.0
rmg_rxn_13985,forward,-1123896.0,-1123850.0,46.0
rmg_rxn_13985,reverse,-1123931.0,-1123850.0,81.0
rmg_rxn_13986,forward,-1123914.0,-1123870.0,44.0
rmg_rxn_13986,reverse,-1123931.0,-1123870.0,61.0
rmg_rxn_13987,forward,-1123916.0,-1123870.0,46.0
rmg_rxn_13987,reverse,-1123931.0,-1123870.0,61.0
rmg_rxn_13990,forward,-1215096.0,-1215060.0,36.0
rmg_rxn_13990,reverse,-1215140.0,-1215060.0,80.0
rmg_rxn_13991,forward,-1215118.0,-1215080.0,38.0
rmg_rxn_13991,reverse,-1215140.0,-1215080.0,60.0
rmg_rxn_13992,forward,-1215120.0,-1215080.0,40.0
rmg_rxn_13992,reverse,-1215140.0,-1215080.0,60.0
rmg_rxn_13993,forward,-1456194.0,-1456160.0,34.0
rmg_rxn_13993,reverse,-1456199.0,-1456160.0,39.0
rmg_rxn_13994,forward,-1868774.0,-1868720.0,54.0
rmg_rxn_13994,reverse,-1868779.0,-1868720.0,59.0
rmg_rxn_13995,forward,-1868744.0,-1868700.0,44.0
rmg_rxn_13995,reverse,-1868779.0,-1868700.0,79.0
rmg_rxn_13997,forward,-956439.0,-956397.0,42.0
rmg_rxn_13997,reverse,-956484.0,-956397.0,87.0
rmg_rxn_14,forward,-1563946.0,,
rmg_rxn_14,reverse,-1253210.0,,
rmg_rxn_14002,forward,-606396.0,-606382.0,14.0
rmg_rxn_14002,reverse,-606447.0,-606382.0,65.0
rmg_rxn_14003,forward,-947687.0,-947649.0,38.0
rmg_rxn_14003,reverse,-947750.0,-947649.0,101.0
rmg_rxn_14004,forward,-512040.0,-512022.0,18.0
rmg_rxn_14004,reverse,-512128.0,-512022.0,106.0
rmg_rxn_14007,forward,-760577.0,-760618.0,-41.0
rmg_rxn_14007,reverse,-760595.0,-760618.0,-23.0
rmg_rxn_14013,forward,-718363.0,,
rmg_rxn_14013,reverse,-407611.0,,
rmg_rxn_14017,forward,-1662489.0,-1662510.0,-21.0
rmg_rxn_14017,reverse,-1662504.0,-1662510.0,-6.0
rmg_rxn_14018,forward,-1662474.0,-1662420.0,54.0
rmg_rxn_14018,reverse,-1662489.0,-1662420.0,69.0
rmg_rxn_14019,forward,-1662444.0,-1662400.0,44.0
rmg_rxn_14019,reverse,-1662489.0,-1662400.0,89.0
rmg_rxn_14022,forward,-956545.0,-956497.0,48.0
rmg_rxn_14022,reverse,-956584.0,-956497.0,87.0
rmg_rxn_14025,forward,-917618.0,-917583.0,35.0
rmg_rxn_14025,reverse,-917650.0,-917583.0,67.0
rmg_rxn_14026,forward,-917634.0,-917590.0,44.0
rmg_rxn_14026,reverse,-917650.0,-917590.0,60.0
rmg_rxn_14027,forward,-917606.0,-917571.0,35.0
rmg_rxn_14027,reverse,-917650.0,-917571.0,79.0
rmg_rxn_14028,forward,-1454511.0,-1454530.0,-19.0
rmg_rxn_14028,reverse,-1454527.0,-1454530.0,-3.0
rmg_rxn_14032,forward,-716905.0,-716882.0,23.0
rmg_rxn_14032,reverse,-716974.0,-716882.0,92.0
rmg_rxn_14034,forward,-409297.0,,
rmg_rxn_14034,reverse,-814504.0,,
rmg_rxn_14035,forward,-814487.0,-814438.0,49.0
rmg_rxn_14035,reverse,-814500.0,-814438.0,62.0
rmg_rxn_14036,forward,-814452.0,-814420.0,32.0
rmg_rxn_14036,reverse,-814500.0,-814420.0,80.0
rmg_rxn_14037,forward,-803823.0,-803843.0,-20.0
rmg_rxn_14037,reverse,-804002.0,-803843.0,159.0
rmg_rxn_14042,forward,-720136.0,-720092.0,44.0
rmg_rxn_14042,reverse,-720166.0,-720092.0,74.0
rmg_rxn_14043,forward,-409297.0,,
rmg_rxn_14043,reverse,-720171.0,,
rmg_rxn_14044,forward,-1765624.0,-1765570.0,54.0
rmg_rxn_14044,reverse,-1765629.0,-1765570.0,59.0
rmg_rxn_14045,forward,-1765584.0,-1765550.0,34.0
rmg_rxn_14045,reverse,-1765629.0,-1765550.0,79.0
rmg_rxn_14046,forward,-1765614.0,-1765560.0,54.0
rmg_rxn_14046,reverse,-1765629.0,-1765560.0,69.0
rmg_rxn_14049,forward,-1020766.0,-1020720.0,46.0
rmg_rxn_14049,reverse,-1020781.0,-1020720.0,61.0
rmg_rxn_14050,forward,-1020729.0,-1020700.0,29.0
rmg_rxn_14050,reverse,-1020781.0,-1020700.0,81.0
rmg_rxn_14052,forward,-1020732.0,-1020690.0,42.0
rmg_rxn_14052,reverse,-1020768.0,-1020690.0,78.0
rmg_rxn_14053,forward,-1020750.0,-1020710.0,40.0
rmg_rxn_14053,reverse,-1020768.0,-1020710.0,58.0
rmg_rxn_14054,forward,-1020721.0,-1020680.0,41.0
rmg_rxn_14054,reverse,-1020768.0,-1020680.0,88.0
rmg_rxn_14055,forward,-1020745.0,-1020700.0,45.0
rmg_rxn_14055,reverse,-1020768.0,-1020700.0,68.0
rmg_rxn_14060,forward,-652603.0,-652705.0,-102.0
rmg_rxn_14060,reverse,-652852.0,-652705.0,147.0
rmg_rxn_14068,forward,-956471.0,-956440.0,31.0
rmg_rxn_14068,reverse,-956520.0,-956440.0,80.0
rmg_rxn_14070,forward,-956421.0,-956396.0,25.0
rmg_rxn_14070,reverse,-956485.0,-956396.0,89.0
rmg_rxn_14071,forward,-914535.0,-914467.0,68.0
rmg_rxn_14071,reverse,-914529.0,-914467.0,62.0
rmg_rxn_14072,forward,-914481.0,-914442.0,39.0
rmg_rxn_14072,reverse,-914529.0,-914442.0,87.0
rmg_rxn_14073,forward,-1215104.0,-1215060.0,44.0
rmg_rxn_14073,reverse,-1215128.0,-1215060.0,68.0
rmg_rxn_14074,forward,-1215043.0,-1215030.0,13.0
rmg_rxn_14074,reverse,-1215090.0,-1215030.0,60.0
rmg_rxn_14075,forward,-1215175.0,-1215140.0,35.0
rmg_rxn_14075,reverse,-1215224.0,-1215140.0,84.0
rmg_rxn_14099,forward,-608130.0,-608130.0,0.0
rmg_rxn_14099,reverse,-608240.0,-608130.0,110.0
rmg_rxn_14100,forward,-750159.0,-750337.0,-178.0
rmg_rxn_14100,reverse,-750339.0,-750337.0,2.0
rmg_rxn_14106,forward,-1107405.0,-1107310.0,95.0
rmg_rxn_14106,reverse,-1107329.0,-1107310.0,19.0
